comment,label
Well done bharat kisan unions for beating the evil money men who would have took the soul out of India.,1
Indian farmers are really great. .,1
Shame on Zee news,1
Lagta hai election aane wale hai!!,1
"Even bjp gives their statements a few mins before tv newsence shoots their episode, so that bjp dont get roasted immediately... ",1
Kisan ko honoreon early dedo 5  6 000 Hager rupeatya,1
I am not from farmer background. But I can feel the pain what they are facing .          talented     presentation  world class ,1
Toh phir Pakistani youth Jeans aur Shirt kiyun pehente hain? unhe bhi burkha pehen ne bolo ,1
"That is our badluck, that the agriculture bill bill, is revoked",0
I think government is too late...They may have convinced farmers till now...mistake are made by both sides...,0
After two years the govt. Mandi(where we sell and get guranteed price of a crop) those will be gone because no one will come to sell. ,1
Appeals strengthing farmers unity...kisan zindabad ,1
Farmer laws are good ...Anna ji .please read it,0
"Remebmber, India did decide to exit the deal, they should also follow the same here",0
"One word summarizes this video: ""Disinformation"". Coming from farmer's family, I know how the mandi (APMC) gangs up and forces us to sell our commodities for throwaway price. I still remember my uncle coming back in tears on how the mandi cheated him. We live closer to another district mandi and we cannot even go to that mandi. We are forced to sell at one mandi only. Yes, the same regulated mandi that you shown in the animation. We are stuck to one mandi only. Don't you think you should have mentioned that piece of information?",0
1. In first bill middle men can also participate in private mandis,0
In solidarity with Indian farmers ,1
Thnxz becz our national media is totally paid,1
"the excess food bought by food corporation of india from farmers gets stored and when food corporation of india runs out of spaces to store it just gets dumped . Pvt players will have more resources to manage , store , these products , even export .One of the three laws will educate the farmers about new and modern techniques and different variety of crops  .",0
In my opinion the bigger question that should be asked is why are farmers still poor even after 73 years of Independence . why are they not rich like American or European farmers ? .,0
Law acche the pr ye India h yaha har law ka durupayog hota h aur hota rhega. In laws m kai loopholes the jiska loss gareeb farmers ko uthana pdta isliye farmers protest kr rhe the agr india corruption free hota to ye laws bahot effective hote pr on grounds ka haal sbko pta h.,1
Literally Arnab Goswami alone could win 20 opposition if Arnab Goswami is in parliament. ,0
"Trevor should have covered other sides..corruptions that held in ""mandis"" because of farmers can't sell their crops in any other place",0
Who give permission to rally our Republic day  ?  modi government is west  ,0
"Aaj tak is a reputed channel and they should not invite fool people like rakesh tikait , iski baato me koi logic nahi hota hai. Kisano ke liye govt kuch aacha kare to isko prob , aur nahi kare to bhi isko prob ..",0
I apologize to thr nation we were not able to explain the farm laws to the farmers All 3 laws will be repeated. PM modi,0
"Hey trevor ... ik i'm gonna get some hate replies on this comment or things but jsyk everyone around the world supports farmers from anywhere and even us indians respect them but when you throw light on such a major topic you need to show both the sides of the coins ... you just can't stop after explaining the farmer's view ... what about the laws .... ik you ain't exactly declaring your support for the farmers but its exactly clear. The farmers are not ready to have a peaceful conversation with the government.These laws will indeed improve efficiency of the Indian markets. It is known that the farmers have misinterpreted the laws till some extent.The main cause why the public is angered at the farmers is because when after months of lockdown the city had opened up and was getting functional , the farmer protests though peaceful at first locked up the city till some level again.",0
Now farm bills - defeat,1
You go farmers you got my attention,1
"the people who were parasite for India and kept Indian poor poor, are now feeling the heat.",1
"The othering of the  ""Hindu boogie""  is constructed along with other  narrative techniques such as labelling ""nationslism"" as 'jingoism', patriotism as 'fascism', self reliance as 'protectionism',  promoting anti-hindu-tva as progressive - egalitarian - liberal standpoint.  This was a ready made ideology carefully constructed & sown in indian minds by British Colonialists that strikes its cords even now. These protests,  including the CAA struggles were the aggressive outbursts tuned to its cacaphonic beats our 'intellectuals' ideologists, & journalists play. ",0
Problem is population. small farmers are small becoz previous generation had 10 sons for 50 acre of land and now they have 2 acres in 3 sons. Farming cant feed so many ppl on a small piece of land. You have to value add in it or to give smone who is more sufficient in it by use of scientific methods of growing crops,0
But what was wrong with farmer law,0
Believes like Modi is doing the right thing.,0
Bjp will hold arminder hands and enter punjab for sure,0
"all reforms for private will come first' with benifits, continues with exploitation, ends with deaths of the poor, because Indian politics is controlled by corporates. You see the sufferings of Communist China who used their welfare ideologies to corporates . We need proper interactions and convenience the people, if they can not  believe in the speaker or doubts about the future, repeal, . But I also appreciate Narendra Modi Ji for his various initiatives. India born with protest, no army , weapons , Power stopped the Indian freedom from British. Same way once the massprotest is accepted by common people, then governing  leaders need the strategies to stop.......",1
By heart I am thankful to lallontop channel to standing for farmers  (truth).,1
Non bailable warrant for opposition leaders who are creating this problem in india,0
AAP should lead farmers agitation and bring down this unruly ruling party.,1
"Sir, I understood the point that the government can't procure all the food produce from all the farmers across the country but if govt makes a law by which procurement of agricultural produce below MSP by any private party would not be accepted then the storage issue can be sorted out. By doing it inflation will certainly happen but by this, the lowest strata of the economy will get benefit in terms of money. This will be the biggest tool for poverty alleviation. The ruling government should also consider this point.",0
That means Agricultural market brokers still have lot of money to disturbute to the farmers & farm produce !,1
Govt should pay Rs 50 Lakh to each Kishan those who loss their life on this Holy Kishan  Andolan. Govt also pay Rs 20 Lakh to every Kishan those are participating on this Holy Kishan Andolan. ,1
He did this for those public jo pareshaan ho rhi thee in kisaan atankvaadiyo ke Andolan se ,0
The Indian Agricultural Sector has got a massive setback now . Some of the points needed to be discussed . Now we need to keep a strong check on the NGOs and the social media companies .,0
If Government care about their people just they should drop this farm Bill's ,1
Millions of salute to our Haryana brothers,1
Respect farmers if you eat food daily you fools,1
"Come on Taliban, India is so mighty.",0
What is going on respect farmers so sad after looking this news,1
This information needed to reach out to farmers..so regional language or hindi at least..it's good you guys are doing it in English but those who listen might not be farmers..need to evolve your reach,1
there is no one better than MODI... period,0
Khalistan will be free very soon. our Sikh friends we are with you. love from Pakistan,1
Shame on zee news,1
"If Afghanistan is heart of Asia,Then INDIA is HEART OF THE WORLD.....",0
Farmers are not supporting this they say the people who did this are not affiliated with them they condemn such violence.,1
zee news only tells one side of the story.,1
Ultimately it's the small farmers who will pay for the idiotic political farmers,0
Watching this after those law have been repealed,1
"A real enlightening exposition on farm laws. Congress Party stands exposed on its duplicity. However, BJP did no less politicking on farm reforms when Congress proposed it in Parliament but was vehemently opposed by BJP in both upper and lower houses. No party, I find, is doing above board politics. ",1
Cant the government fix the quantity of grain to be procured from punjab and Haryana and allot it to the other states like UP and MP?,1
Can you do a breakdown of farm laws and state its pros and cons Trevor? :),0
# westandwithfarmers,1
Boycott 'Patanjali' products completely from today. These products are offered by Ramdev Yadav. SUPPORT FARMERS.,1
Another things contract farming price option,0
Please keep covering this movement  non of the local media is covering it.,1
Don't justify crimes of Taliban ,0
Bjp modiji is the best ! There is a reason for all that he does ! Sorry abhijit can only criticize others!!!! Modiji knows what to do ! They will bring back this bill with more power !,0
"This Afghan army is proudly trained by India in Dera doon academy, hahahahahaha",0
Your news have been written by modi govt..,1
Salute to Saheed Jawans too of our India who sacrificed at J&K.,0
Why Taliban is doing this what is the reason....can any one explain,0
Watching this video after an year when bills has been repealed,1
In this budget there is nothing that could help in increasing the farmers income.,1
"Great decision, it takes a great leader to be humble and listen to his people. Thank you Modiji! ",0
One question to the people favoring the bills....,1
"Higher income farmers should be taken under Income tax OR, Industry should be relaxed income tax rate as well.... ",0
this is brutal even more than British rule in  India,1
My Grandfather is a Farmer,1
"No one has ever given credits to gst, demonisation , the work done on borders are of the Indian Army not BJP",1
Ye car chdane walo ke liye terrorist word use kro please,1
You are the best. You are side of farmer and truth.,1
1 Dare to shatter the existing social fabric of India?,0
"Next Programe's ---""EVM -"" Election Voating voter's---Clossed ",1
I love my pm and I support my pm..,0
Cannot understand that why DNA has in almost each and episode have tried its best to promote BJP. There is probably no episode aired where directly or indirectly Zee media tried its best to promote interest of single party. Let media be too an extent be neutral and cannot be extremely bias to single party.,1
I think most of people were criticising RG and PG ...mocking them ...insulting them....but one day we all will realise that they are  leaders...who always stands with poor people...when they hug someone ..when they spend time with downtrodden people ...some section of this society comments that they were acting...but they are far far far far better than  BJP laeders ...,1
"Someone was saying, after the two vehicles was destroyed and burned, to escape they drove in a hurry and the accident happened. Anyone knows the exact truth. I have seen these people killing a man using stick, no humans or farmers can do that. It was shocking. After supporting farmers and if they turned culprits we will look like idiots. Like what happened during farmers protest and many other cases.",0
"what about the farmers killed by the law , this type of governess will kill the contoury",1
