Username,Comment
Avijit Modi,"2 month is a long time for having patience. Farmers were protesting in Delhi's cold weather not to go home empty handed. Government is busy with election campaigning only, Farmers are not slave, its the government who should serve the people, they have pledged to serve the nation but now they are busy to save their seat and winning other elections"
uday chetan,they are not farmers
RB CL007,Don't blame farmers... They are goons of congress and left extremist.. Don't blame farmers.. Full support for farmer but not for these goons of leftist and congrese
Subhashish Bagchi,"HOW PEACEFUL THE PROTEST OF POOR FARMERS WAS


There is  Chinese troll named KITTY KAT posting stupid comments down below the comment section"
Varun Chaudhari,United We Stand
冘火,"these farmers are not riots,they are heros who defend their right."
naveen karekay,"Those were not farmers..
Why does someone/any farmer protest against Farmers bill which benefits them n country..

No farmer does that.."
S A,Shame On INDIAN GOVERNMENT
Mathave Vadiveloo,The tractor guy drove so fast dangerously putting all at stake and overturn his tractor and died because BJP asked him commit suicide! Good! The nation is watching!
Manideep Chaudhary,They are wearing mask of Farmers
MTK,Really? is it actually eroding. I actually support the farmers haha
mohana krishnan,Why Delhi police didn't act on it swiftly. If the protectors are themselves are blind-sighted how the people will feel safe. It was all like a game plan fully planned and executed. No-one stopped hoisting the non-National Flag in Red Fort. Is it legit? Believe the truth will come out sooner. And now no Western countries open their mouth.
Micky mitch,Why they protest? What is the dispute between them?
ПОЛОНИYM ГАМИНГ OП,"They are not farmers. They are separatists. if they were farmers they would have hoisted the farmer flag or sickle and hammer flag and not the khalsa flag
btw Capt. Amarender Singh said ""if you really are farmers come back to punjab"""
Dalla Allah,"All were not farmers and protest wasn't supposed to go that way, some pakistan supporters were also inside, that's the reason all of sudden everything was rushed at end to execute their real aim on very important day."
praveen,Khalisthan Terroists
sdm465,Being out the guns and shoot them...and chargesheet the politicians supporting this farce in the name of protests...
jairam G,Only punjab and haryana remaining states are accepted the farm laws..
jairam G,They are not deserve a right to do violent protest in the delhi..
pm m,"Look beyond the concockted spun- narratives. Then, every wise person can see, that comes up against the ""national interest"" in India are actually veild intolerance for india's unbeiddled diversities of language, region,   religions, castes, classes, philosophies, ideologies,.. hidden beneath the label of ""hindu-boogie""  from a elite class of ""neo-brahmins ""of 'liberal-progressive' claims!  This elite class that opposes the 'jingoism' of ""nationalism"" or ""patriotism""  of 'Bhakts' are internally sectarians who cannot tolerate any beyond their cacoon identity (of any of the narrow identity,) that includes their identity by ideological postureing."
Runu Miah,This is happened when government do jobs for 1% people and put 99% for fight ...
user died,Farmers didn't hit any private property. Buses were placed there as barricade. It is sad that there such great protest turned like this. Protesters themselves were begging to them to stop but some just didn't want to. It has been extremely long time and very costly for these people.
Anirudh Katti,They are more like sikh extremists than farmers.....i see more Sikh extremists flags than general farmers union ones
Carlos Hafez bin Santana,WION tell your listeners it was all done by Pakistan
James B,"India has precedent prosecuting and collecting damages from rioters, apply this to farmers too. NO EXCEPTION. 
You have rioters on camera with their tractators. Put their farms and tractors for sale and recover the damages. 
Why is govt doing any business activity at taxpayer's cost?"
kumar prem,Madam it's not the actual farmers. Real Farmers are in their duties on feild. Criminals and antinationals
prabhushraddha,Shame on these people
P J,"Most shameless thing was to go inside red fort and even touch the flag. Sorry but I don't think that now i call them respected Indians. They don't want their rights, they just want to misuse them. As a armed force personnel, i feel very ashamed and really sad."
SipaulKumar official,This people not farmer like terror
EVENT HORIZON,"Every action has its reaction....
waiting for reaction..."
Sunny Roll9,"Who' s responsible ?
Our shamefull government"
Anime_Lover,Sikth farmers are dirty and a cancer to India and democracy
Capitol REsources,"After succesive govt bailed out the farmers with loan.... This is what happens.... Free electricity,  subsidies in urea purchases..... Low interest Loan's..... Non of them pay taxes and now....."
अमन सिंह,"These are not farmers, they are COMMUNISTS HIDING BEHIND FARMER COVER."
Shivam Tiwari,"If you destroy public property, than you will  pay for it by you own property."
ಶಿವ ಶಂಕರ್,now these is the movement BJP was waiting oh man when you play Chess man you can win any kinda of war
Naseeb Shaikh,Look like government supporters are involved to disrupt the protest on farmers image
OXYLAC ARYA,Billionaires trying to topple governments all over the world. The capitalism use by communists to usurp power.
Ven Kat,Its not good for any doing like this ultimately they would be taken to justice and people who does this type things should be punished
Santosh S SriKrishnan Iyer,"INDIAS SUPREME COURT HAD THE OPPORTUNITY TO CANCEL PERMISSION! SHOULD HAVE NOT GIVEN PERMIT FOR TRACTOR RALLY INSTEAD OF PUTTING DELHICOPS IN THE LINE OF FIRE ON A NATIONAL HOLIDAY!,"
उद्धरेदात्मनात्मानं नात्मानमवसादयेत्।,If they did this in USA or China or Russia they would have been shot dead
THE RAV AN ASURA,"Kehth chod kar itney din koi farmer toh nehi rahetha, they are not farmers. Arrest all the trouble makers ,it's a big shame for our country that this happened in capital and that too in red fort "
FoulPlay.,This is SHAME
bryan lalramchhana Hringngen,Breeding ground of covid 19. Here more covid case will follow
KASHISH m-7011,These r not Framers...they r Kha-listani Jih-adis....They must be dealt in the appropriate way...they r not above law..
Alniya,The so called farmers were brandishing swords at the police. What kind of farmers are they??
Logesh T U,"WION and BJP ARE SAME ONLY ,
BJP STAND  FOR COPERATE , BY COPERATE
ONLY FOR COPERATE 
FARMERS LAW COME TO ACTIVE( REALITY ), FARMERS WILL BE BURGERS IN FUTURE

Government didn't ask the farmers before approvaling this law , indians will support  all the farmers in India ,we won't care media and government say against this farmers. ,
We will support the all farmers"
YASHPAL RAJ,Shoot at site should have been given to this unwanted people or shoot the security incharge officer for ashaming the nation.
Chandra Sekar,They aren't farmers they are middle mens
Abhinandan Das,They are a nuisance
Shrey Pratap Singh,"They have full rights to do protect. But picking up 26th Jan as a day to show your angry seems too much. Don't respect the government but one should respect the army who is protecting you day and night, one should respect the nation. The day to be proud of an Indian if you consider yourself one. It's a shame!"
ऋषि,Stop saying that they are farmers? The protest have been long planned by Khalistanis. They even hoisted the Khalistani flag near the Indian National Flag which is an insult to the Indian Republic and act of war against it. Start getting your facts right WION.
Pradeep,"Bunch of middle men trying to save their job ie., looting farmers 
Only a fool will think they are farmers"
Trash Beats,These are Khalistani supporters and some are jameendars not farmers
B.k Gupta,People who are commenting that they were not farmers are actually mistaken. These rioters were actually farmer of punjab and some of them were from neighbouring states and also from the communist parties.
Sarcasm,"All this could have been avoided if modi government withdrawed the farm bill
When farmers were protesting peacefully for nearly two three months everybody ignored them but when they decided to go to Delhi trucks,buses and cement barricades were put in the middle of the road 
They are protesting,fighting for their own rights not going to school that they have to follow rules 


Sindhu border is not there home,they have other things to do 

India is a country where people just ignore. they don't support each other. farmers were protesting in cold winters, what did the government do???? They just ignored them as if everything is normal

If violence is the only way to get attention of the common people and international media then I am proud what farmers did was right and I would have done the same thing

Jai jawan jai kisan"
praneeta1516,Its not farmer protests.... Correct it
Ipsita Mohanty,They are khalistanis hiding behind farmers
Karam,To save democracy and humanity support farmers 
chamaka day,Will yogi book all of them in UAPA?
Anil Kumar,"Frod channel 
Sbse jhoota  aur frod channel"
Jag Singh,Naxalite is the future of India. Support country Naxalite and its government. Naxalite is always with you to alleviate poverty and ensure equal human rights.
humanfirst7,All Kisa supporters are Gaddars.   Send then to Afganistan
George Alexander,Yeh TV channel wale SARKAR se sawaal kyon nahin poochte hain ? Kinse darte ho Bhai ?
Arun Kumar Srivastava,Tikat chor h.
the real fact,Can these farmers wear mask. !!!! We are staying at home so that covid cases can lower down and these are  not even wearing mask putting us in danger of another wave
Preetam Kumar,We are always with farmer unto death
MADH.,waiting for these so called protestors to protest against punjab govt as well.... jaha pr contract farming me kisaan ko jail ka praavdhaan hai... but wha se to inko grants aa rhe hai maalik k khilaaf thodi bolenge
you know,Sarkar ko bachit se solution Krna chahiye
Sudershan Kumar,Tikait looks like Gunda from his face its lfb
Sudershan Kumar,"When krishi kanoon are stopped by supreme. Court then why this andolan by Tikat 
He is not representative of all farmers
He has gathered 100 crores worth asset 
He is not a poor farmer"
Savitri Bharti,"hcbh       Comment   
        "
Sudershan Kumar,Just few people criticise media
Sudershan Kumar,"Tikat has been given free hand to spoil country,s environment"
Sudershan Kumar,Modi ji all your good efforts are being detailed by this gunda Tikat
Sudershan Kumar,Modi ji uour govt is showing weakness and antinational movement by Tikat is doing the way he want to disturb contry environment
Sudershan Kumar,Tika. Can not be called Indian National and he is defaming India
Sudershan Kumar,Modi ji why you are unable to control this antinational tikait
Kaala Mushki,"Hollywood Females Celebrities Latest Updates , News , Entertainment and Current Issues..//"
Ranjeet roy,Aaj tak chennal leave now
nazil ansari,Yeh news anchor sab baat aram se bhi bol sakta tha itni overacting kyi
Dogs Tv,Every Indians Support Kissan 
Sampad Roy,"Choukidar chor jasoos 
2024 choukidar chor pakka GOL"
Deepak,"Kisan Andolan should be included in guinnes book of world records
As largest Kisan Andolan in history of man kind"
Himanshu Mishra,Ye to news18 ki anchor hain
Technical Sitaram,Kal pta chla h Chitra Tripathi ke sath kisan ne bahut respect Kiya h please Thora wo bhi dikha do 
G-class,Respected for Kishaan
Jupitor108,yeh sab Bicholiye aur unke pitthu hain.
Olivie dernodi,"vaw.fyi
thrilling"
Kishor Teewari,Half correct news
Jaskaran Deep,"Those people who are commenting against farmers are puppets of corporates 
 Bloody Chutiye bhakt"
James Devassy,Stop the FARM LAWS
True indian,"Nobody never ever support these broker middleman, these mandi walas sucked real farmers blood for many years. Now its time for farmers to trade with every common people"
Rajanathan C,Idiots will spread covid and bring the country again in lockdown
vicram singh,This channel is piss poor
Shyam Malkan,They are not farmers they are Dalals and political parties members 
Suganya,"It was expected ,When tikayat met Mamatha."
Arajanan Bittapu,India should follow china way in handling this protestors.
aadI,No Covid ?  There's so much Media & public hungaa over Kumbh & Election rallies. Why none on this gathering ?
Samsung J5,Parasite of India
Vijay Sunkaranam,I am waiting when these fake are jailed
Jotendra Kumar,To create Covid deaths to remove Modi in 2024 . All congress  Leftists islamists Communists plan to create lage scale Covid deaths to remove Modi
Venkataraman Balasubramanian,Good. Let them spend their life in protest and always medias there to project.
Razz Anand,Here comes again the so called  farmers ...to disrupt...to make chaos again.
saurabh gaur,why these kisans are majorly from punjab
Jag Singh,Naxalite is the future of India. Support country Naxalite and its government. Naxalite is always with you to alleviate poverty and ensure equal human rights.
zoro zoro,One day Civil war will break out between the right thinking citizens of India and RSS/BJP
Munde8088,Blocking internet like chinese dictator government so that fsrmers cant expose police brutality
Deepak George,Wondering if the farmers delay the meeting for 1 week.. will the sms and internet would be suspended till that time??..
Bilal Bhat,"Contemporary govt must introspect the slogan  of lal bahadur Shastri, jai jawan, jai kisan, instead of using  lathis, in order to squeeze their demands.. So called themselves, democratic govt must think about it... ( Respected their demands, Because they are feeders of whole nation...."
Arnav Banerji,Do laathicharge if they start doing fake aandolan.
MrSonyhoney,"Anne Hazare agitation should have been stopped. 
The then Government should have also imposed section 144, suspended internet  and police deployed before Anna Hazare movement in 2011 in Delhi."
slayer 69,This so called farmers will soon get involved  in terrorism
RAHUL SAWANT,this much of security wasn't there when Hindu leaders gave hate speeches against Muslims. PM call our farmers Andolan Jeevi. This gov has anti national elements like hinduvaadi people working for brahmins
Ruma Das,Already your face has burnt to black in the eyes of world.
Pragti Sharma,"Yehi akal pehle lagali hoti to itne police wale injured nahin hote, itni public property destroy nahin hoti
Shameful act on a proud Republic day"
Arun kumar,All farmer union leaders need to be Jail life term
Siddhi Dalvi,They are not regniing from the protest they are running away they must be catch and kick properly till they vomite the blood from the mouth
B V,Those farmer union  leaving after damage is done might have antisocial elements those are to be traced may be they achieved the goal and now fear consequences so they are leaving. 
Arsh Khatri,Feelings sad for Delhi police  and respect for Delhi police 
Mohanram Jayaraman,""" VM SINGH, Rakesh tikait.  Yogadra Yadav, Prasanth Bhushan ""  all are lair .They must put in the bar. These are anti nation person ."
Nirav Panchal,"Those who did such terrible acts against Nation Maligned Image of some Patriotic Sikhs.
Most people know that these protests does not make sense and are completely Illogical and Politically motivated.. but Sikhs sitting in there house were brought down by these bunch of rioters who replaced national flag with their flag."
Love Utube,"It's a diversion tactic. 
The entire area of the protesting sites should be sealed and no one should be able to leave from protesting sites and from delhi, so that the delhi police can book the violent miscreants (it was not a Sporadic but well planned and executed not by some farmers but by thousands) based on CCTV footage, social media videos, pictures from journalists and from others. 
If they leave, tracing them, booking them will only delay in delivery of justice"
Rakesh Vaisoha,"The so called withdrawal is only to save their backsides, they have to be investigated closely to unravel their support system which is common to all other unions and all the hidden forces which they will not reveal unless they are made to go through a truth test grinder."
Ravinder Reddy Palla,So called farmers uions are only belong to two systes but not rest of the states. They are terrorists
Sharad Pant,"Don't call them farmers they are terrorists in farmers clothes. I am farmer and supporting the New Agriculture Bill. You people are not our representative, never."
Narayanan V,THEY KNOW THEY ALL WILL BE BOOKED FOR THE VIOLENCE. NOW THEY HAVE TAKEN U TURN. HYPOCRITES.  THEY RECEIVED MONEY FOR JOINING. NOW GOVT SHOULD NOT SUSPEND THE BILL. THEY SHOULD IMPLEMENT IT   AND STATE SHOULD GIVE OPTION TO FARMERS EITHER TO FOLLOW OR APPROACH MANDIS.
Naveen 9,"After bringing extreme insult and injury to the Tricolor,  Delhi police force, Nation,  now they withdraw! Who is accountable for the damage? Was the tractor rally even necessary in the first place? Had majority protesters refused to participate, this would never happen. The questionable is that it wasn't a small group hitting at policemen. It was huge mass of mad men that were raging mercilessly with swords, lathis and weapons attacking at policemen making it impossible for Delhi police to manage. Wasn't the guidelines discussed well in advance? Who are they? Farmers? Most didn't look like farmers. Tbe visuals on streets looks unreal,  frightening and security threat to city."
Rajashekaran A,Victory for AS through Deep Sidhu
K Chak,"Middlemen Andolan, clear evidence received on 26th Jan. Arrest Yogu and Tiku. Jail meh Roti dalo unko..."
TheIndianAnalyst,Shameless Unions which Brought Shame to Sikh Community!
nkb nkb,Violence was deliberately done to achieve this .....by whom ?  everyone knows who.
nature and world,Will withdrawing absolve them from being punished for sitting with them and joining the protest
maskthug43,What happened about the leaked chat matter of Goosami.....republic cartoon network....
Chumki Chopra,Govt shouldnt let them escape as these leaders now know that govt will book the leaders for the riot they created in Delhi. for 60 days they were agains the govt...now govt shoulf put them in jail
Sukhvir Mann,Godi media...dont  spread fake news
pavan kumar,"Farmer leaders are anti national, shoot them"
Aditya janardhanam,This was never a protest of farmers. Anti social elements entered it for sure.
Jeyashree Iyer,How dare they touched our national flag? They should be punished severely so that such atrocity would not be repeated.
Infinite Abundance,Nai nai baithe raho.. and just wait now.. dont escape from your actions.
sudhangshu pal,"They have completed their mission on destroying dignity of this nation. They were paid for rioting. 
Hang those terrorists"
Srinivas Devadiga,This is not sincerity towards the  nation but it is because  of fear of law
Al lah'  Daal Chawal Dede,"If anyone resides near snake  Yogendra Yadav, give him few slaps "
santosh mishra,THEY CAN PROTEST IN THEIR STATES....OR GO TO COURTS...... BLOCKING ROADS AND TROUBLING COMMON MAN IS NO WAY. THE GOVERMENT HAS MAJORITY DO NOT BEND IN FRONT OF THESE ........ WE WILL SET A WRONG PRECEDENT......JAI HIND
deepa moksham,These farmer unions can not get back after all the drama ..they should be answerable to all loss and respect of our National Flag.
ak p,These are khalistani formers more dangers for the country
Preetha Chaudhury,"Finally, they are realising their folly! They cannot however, wash their hands off. They have to face their responsibility in the heinous acts perpetrated by the Khalistanis."
Rahul Kumar,"Put these khalistani traitors behind bar..
They're trying to escape.....
.
."
Miss Keharh,All farmers give the punishment
Hiraben Solanki,Only Bhanu and vm sing are saying themselve to separate not their followers.
GSGILL,I am sorry Delhi police for yesterday attack in delhi Capital KHALISTAN Terrorist 
GSGILL,no more farmer protest because KHALISTAN Terrorist hi Jack farmer protest not good news
Just Ansh,Open fire order should be placed i don't care if there are thousands of deaths it would worth it any way
Rajesh Kasireddi,"It wasn't a Farmer's protest, but bloody GOONS attacking India and causing destruction"
D Nimishakavi,They should be punished for sedition nevertheless.  Shamelessness at its height
SAWWA SHER,We want Yogiji as home minister
SAWWA SHER,We want anti India laws...
Santhi Swaroop,THEY ARE TRYING TO ESCAPE FROM LEGAL ACTION
Madhu Madhavan,Arrest the idiots and anti nationals running around with sword.  Now we have pictures and technology to track down this anti nationals!
Chandra Parmar,How much black money received by FARMER LEADERS for knowingly letting criminal gang in RALLY.. This was witness in front of INDIA PUBLIC...THEY SHOULD BE SHOT DEAD. NO IF OR BUT....
Shiva Ghuge,CJI must resign................When you know there will be violence and you just see.............lame judiciary.
Bhavana Vijay,They are thinking by withdrawing from the agitation they will be let off for the vandalism and desecration of  Our Nayional Flag. Nobody should be spared. PM should make YOGIJI the Home Minister right away. He is the best doctor for these goons who went berserk yesterday.
TAMIL ENTERTAINMENT,You fools you should be arrested and keep in jail till end.
Manjeet Sindhu,Strict anti india laws should be applied to them or with money power they will come out of jail and Rahul and other congress leaders should also be booked
Vox,"Hello! We have translated subtitles available in Hindi and Punjabi. You can access them through the settings icon > Subtitles/CC

We heard from so many of you in the comments asking for this explainer, we want to let you know we heard you loud and clear. Thanks for watching, and let us know what other global events you want to see explained next in the comments or at voxvideo@vox.com

Thanks, Christina, Video Producer"
Active Citizen,As an economist I can say the new farm laws would depend on market and whole dynamics around it. Its good the government should have minimum intervention in a democratic setup because it is corrupt.
Ashok Ratan,"Started on 9 Aug 2020 still going on 4 Sep 2021, Modi stop serving corporations!"
Indreet Singh,"It's been 9 months, farmers are still protesting. Please pray for farmers"
Noor Hingorani,Shouldnt there be a fixed price on each crop nationwide? If I buy daal in Delhi it should cost the same in Kerala for example. Its unfair to price it differently throughout the country.
Dinesh Edemol,I don't know why south indian and north-east Indian are not protesting against farmers bill.. Maine toh kisiko dekha nhi waha ?
pwirusb,There are so many Indian news channels that are Godi media and they wont dare speak against modi and BJP. They support everything they do.  its absolutely ridiculous
scdmachine,"I see, now they'll bring them all to Canada to ruin economy here. They already put trucking business down to mud. Good job indian government!"
A.d.,"The existing system would remain in place as it is, the government has just offered an alternative which is high profitable for farmers"
A.d.,"93% of farmers i.e. 50 crore farmers support the laws and have doubled their income, it's just 0.2% of those who were protesting backed by Congress party and TMC who were opposition parties.
Vox news you are been fooled .. please check your facts."
Silver Tongue,Middle man are problem in india. They earn more than farmer themselves
M.B. Nagaraj,"In these strikes farmers not involved.  In Punjab Congress led Government sponsored program.
APMC MAFIA behind this.
New Farm law given more freedom to Farmers.  They can sell  
Their products according to their wish."
Yaseen Muhammed,Thank you so much VOX!!!! Kisses and love from India.
Tarun Nair,Supporting Modi Government on this!
Swatilekha,Support farmers.They are the backbone of India 
Anthh Hess,Usual left-lib drivel and half truths. Vox is very happy with free markets in usa but want more and more govt strangulation in India so that rich farmers of Punjab Haryana can keep growing rice and keep driving the soil quality and water table even further into the ground.
Unknown Guy,I will support the farmer protest when real farmers come not UPA workers
Shubham Raj Singh,It has failed
Pavan Kumar,Change the elected Party.
Yash Bal,No farmer no food 
killua pro,fact:- this protest is still going on until to this date 26/7/2021 { it's been 8 months }
Greg,"This Political trouble seems to have started once Bill Gates got involved. It sounds like they are Forcing deregulation so that foreign entities can come in and take control of the farms while leaving the farmers hanging out to dry. Either way, Bill Gates is right that Indian farms produce 20% Per acre what American farmers do. If huge farm start becoming five times more efficient, that will crater prices big time. The farmers that have fed all of India for hundreds of years need to have a soft landing And Provisions made for their children. That way the people benefit from low prices and the farmers are taken care of. But It sounds like greedy government officials are just trying to throw these poor farmers out On the streets because they are too greedy or lazy to work them into the solution"
Greg,"If they stock up then supply will drop and prices will rise for remaining stock. Maybe the stock can later be used to crash prices, but the slick infographic makes none of that obvious. It sounds like vox is manipulating the viewer to think what they want us to  think "
Appz,"I don't understand this. Some are saying it is a good decision and many farmers agreed to it whereas some says it affects the farmers too much. 

I asked because I am a student and doesn't have much idea about it."
"Jen Giordano, A Mystic Mentor",who are the BIG corp players - BILL GATES BIG CORP is not BIG - its small. only a few people would benefit from these acts. THEY would not be INdia peoples - they would be RICH billionaire WHITE MEN.
Orion,"I'm not in favour of the farm laws but it's high time we stop watching these ""we will ONLY show what you already are being led on"" videos."
lakshya varshney,"Inka land agar coorperates ne own kiya to vo principally aur scientifically galat hoga # resign EVM fraudsters shah, modi"
Mani Singh,The governments are becoming dictators.......shame on us for letting be that way
Ayush sharma,They have forget one thing which i should correct that new laws restrict farmers to sue corporates. According to the new law farmers can not sue corporates so in short they have closed the gates of courts for farmers
CHACHU & CHIKKU CHANNEL,We have to stand with them
don king,"Now people can understand why Pakistan was made... ..These rules are just a start, imagine what can happen next?......."
Ganesh Ravisankar,"3:53 Umm yeah just so you know, it's what you call economic growth; starting in the '80s, there was a surge in secondary and tertiary sectors which contributed to a larger percentage of the GDP, thereby decreasing the overall contribution of agriculture to the GDP percentage-wise. Also, the agricultural sector clocked in 9.5% growth in FY19.

Another thing - most of the small farmers were already being exploited by the bigger farmers since these 'bigger' farmers were buying crops at a price lower than the MSP. The point of this law was to provide a path for the smaller farmers to sell their crop directly to the wholesalers which would guarantee them a better price than if they had sold it to these 'bigger' farmers. It's about giving the smaller farmers more agency over the price that they receive for their crops. This is a two-way argument; you can't talk about one side and ignore the other."
Naz Ali,"Punjab, south india and Bengal must unite against corrupted Hindi states tryying to rule over the country. They split bengal cause it was a threat to hindis."
Jot.1100,We are spot farmers.......
farmers protest,thanks vox...love from Punjab
Charles Dias,"Eagle can't fly above, the money"
Syladin Stormlight,I don't think farmers would protest unless they believe governement is doing them  injustice
RambleRamble,Fight!!!!
Sasanth Ks," Who ever wanna deteriorate my country will not last long ,my country my pride "
