comment,label,number
"No masks  no social distancing ?
and cry for oxygen and vaccines 
Im so sorry 
Indian people need to eat bacon  cheese  burger  
Use spoons  and chopsticks ",0,11850
Who give fk to these fake farmers and covid spreaders as they spreading covid since last one year... no actual farmers behave like this...and this fake news promoting them since last more than a year,0,6716
Leftists are spreading Corona everywhere.,0,4591
"Wonder why only farmers are protesting!!!
Farmers are fighting for every ordinary Indian citizens. The whole country should be supporting them.",0,3820
Looks like these Sikhs just wants to be very Sick,0,11400
Humble request to all farmers to stop such protests..,0,10856
They are not ordinary farmers they're cororpathya it is not daring all are frightened all are corona positive.,0,14419
Stupid Modi-Shah cause of Misery to Indian farmers,0,3187
Stupid farmers going against Modiji shame for them,0,14860
Why Punjab Government is not taking action against these protestors?????,0,430
SUSPEND this protest !! Corona is DANGEROUS !! Lawlessness is unfotunate !!,0,13637
This isn't the time to protest please stop,0,14151
Kill everyone raskals...they are not farmers. No took money and they are very rich people,0,4307
its hard to feel sorry for these people ...they are doing all this damage to themselves...no masks....rallys ...thier choice ..and they keep doing it...,0,13325
Now these people will get the virus and they will be the super spreader.,0,3988
send in the army to disperse the mass gatherings. Take action India to stop the spread. please,0,8616
"farmer protest only symbolic, fizzle out",0,3796
Covid will take care no issues,0,7543
"Whatever they are protesting against, is going to be in vain, your voice cannot be heard when you can't breathe and your fighting for your life due to COVID-19!!
Pffft!!",0,1592
"...salute to Modi govt with dealing with covid crisis along side the bengal ,maharashtra, delhi and farmer crisis..Jai shri ram..farmer protest Shaheen bagh bengal voilence all are financed by anti nationals..Modiji should not give up...",0,99
Why are they doing this? cant Barkha Dutt and Kejriwal tell them please or they listen to Rihana only,0,6035
"This is protest is done in the interest of  ""Middle man of Farm Produce"".",0,12131
"99 percent of these farmers are illiterate, in my state Kerala nobody is protesting . ask the leader of this protest to have a live debate , i dont know why these uneducated north indian support these idiots",0,10024
"Yes. Very nice. This is the best time. Let them gather in large numbers. These fake farmers who are actually Arthian and Bicholiyas, let them get accumulated in large numbers in and around haryana, Delh. And let they Corona Virus take care of these hooligans and finish the job ",0,12083
These rich farmers are doing unnecessary protests now and spreading carona. Courts have already suspended the law for some time and put experts committe to reform the bill. These rich leaders are just doing politics now.,0,12405
"They are trying to take advantage of the Covid situation. Farm laws along with direct benefit transfer has made this is a do or die battle for middle men and these protests should fail. Government should not budge. Many of the below ""farmer supporter"" just want to make the government to backtrack so they can use this politically.",0,13145
Arrest them...if they want to be arrested..fulfil their wishes...,0,10500
"it is really Horrible to see the attitude of the Farmers at this point of time , putting hundreds life in danger, what are they going to get out of this ??     Kindly Understand Please adhere to Covid appropriate behaviour. Your life is Precious for every Indian.",0,13931
Is this punjab or 5 year back Jammu Kashmir,0,9467
India is the known as land of traitors as the British terminology suggests like Australia is the land of convicts as well as New Zealand is known as the land of eccentrics.The man who seats  in a far away land wanted to creat new world order by behind the scene stage managed show of farmer's agitation to cripple the Indian state via his proxy's like different NGOS and different skyfall media groups who do anti-India propaganda to create mayhem and anarchy here in India.Let's see what happens as his missions in Ukraine failed miserably due to the solid thrashing by the Russian President Vladimir Putin.,0,8302
Everyone knows which party is funding these protests,0,9848
Those pelting stones are not farmers but anti-nationals criminals sponsored by congress kejriwal and Pakistan,0,8780
Tikat is misleading innocent people. What a shame,0,2966
Thank u farmers for inviting corona and once again heading towards lockdown. Desh ki unattai aise hi kijiyega,0,6935
Get ready for 3rd wave of corona virus.  Don't blame state or Central governments. Cos we farmers didn't take any precautions or follow covid SOP. Thank you,0,13303
He is trying to open his political account! Nothing else. Opportunist,0,10236
My all respect for people of Punjab has gone,0,10525
Stone pelting shifts from kashmir to Punjab.,0,14753
these fake farmars and Dakait is a toolkit of opposition parties...,0,4496
Practicing for the next Olympic event of stone pelting?,0,4414
These are fake farmers plz don't cover up the stories of these idots.,0,6832
They are all healthy.No one get infected. Corona dont come in farmers crowd?,0,524
No way to support these broker mandi walas. Let farmers get benefit from this bill,0,14649
Congress tasting their own venom,0,2990
"*Police should stand down. They are caught in the politician puppetry Let the PUBLIC face the Farmer protesters, leaders & politicians who are protesting, disrupting traffic, creating ruckus... violence etc. Let Public face the violence, only then will the public take action against these fools and support the police*",0,8366
"*People have the right to free movement---No one should deliberately disrupt the livelihood and movement of people---The Farmer's protest is just that. To create problems----They and their kind should be punished to the maximum so that people do not adopt such actions----Can we go infront of their family homes and protest, create ruckus and disrupt their movement for long period of time? If yes, public should do the same to these so call paid fake leaders*",0,9175
"Rakesh Tiket is playing politic under farmers disguise.
Why is the gov still soft on him ?",0,11894
"Taliban style of government, using brutal force to silence citizens.",0,5965
"Farmer in my place and western go vacation or picnic at seaside or travel to beautiful place or complete thier pilgrim mission but in india framer picnic in street and wasting time, disturd public peace and freedom.",0,8656
Tacait is Dacoit. Funded by foreign funding and Congress . Someone should make sure he is investigated for the wealth created over 20 years !! He is the main guy income converting black money to white by showing farm income ( tax free loophole) !!,0,806
One of the key cause for increase in the Covid case. Hope these useless guys get some enlightenment soon,0,3350
Let these mandi walas gain wealth for 7 generation by sucking real farmers blood buying onion 8 and sell for 100+. Let farmer live peacefully without these mandi middle man interruption.which farmer will protest for 7 months without farming,0,4084
Rapes deaths what more do these so called farmers want,0,12384
Anti nationalist forces assembled together,0,14642
This is need for rental broker.There is no kissan they are enemy of country Mallik jee is supporting to broker. This is not proper for him.,0,9236
"Not a big deal if there are changes in finance and decision people always protest. India need to change, cannot remain in old laws",0,8095
God save this country.....this can't be protest....,0,10139
Farm laws actually helps farmers so stop spreading hatred.,0,11833
Jai shree ram,0,58
Does only Punjab have farmers and not any other states ,0,3195
"this happens when mislead people protest , not knowing laws ... at the start of these protest we were supporting them but after some leaders of farmer protest used these for political purposes we started ignoring them and after26th january I lost faith in them completely....and then I myself took an account of laws and thought there is nothing to be worried about except a particular section for which government proposed amendments but they{ farmer leaders } never talk about that instead talk rubbish political talks sucking farmers vote...shameless people",0,2808
This video is from Pakistan there are no such protests in india! Fake news,0,12399
Rakesh tikait is so greedy,0,656
Indian media is defaming these farmers...,0,7329
I can see more pisfuls in this rally for their malicious propaganda,0,528
Jai shree ram,0,14066
"Flop protests , xposed and humilated for the fi lth they are",0,1492
To run tractors on police is violence,0,13497
"biggest  hypocrites are these farmers, with their global sympathy act LoL",0,585
Soc1 al dista ncing rules don't apply to di aper heads,0,10554
"Awww,..send them more  LoL..they need some attention for their fl opped dramatised  prots ts LoL",0,5126
"No South Indian farmer protester. Its just Chinese propaganda.  
They are loosing money. Poor getting rich. Oh protest against modi. Rich ppl vote for congress. Oh wait there in not many rich ppl compared to the ratio of the populations. Lol robbers and thieves.",0,7354
No support to these mandi walas in the name of farmers from congress toolkit,0,12299
Irony of this protect is that Indians already getting less than half price of crop in government procurement system and punjabi admire canadaian american system most and they having  private food market .,0,11068
"They were blocking roads, highway and throwing stones, why would police not take action against them.",0,10021
"Fatty Fatty  farmers family eating Pizzas ,wow enjoying picnics 
Retired people  political Backed by Canada's Sikhs.
Modi is all ve ",0,6666
"*No one will stop Modi.. Modi's popularity is increasing day by day in India.* It's just Al jazeera propaganda.. 
Jai Shree Ram 
*Long Live The Hindu Republic Of INDIA*",0,11652
Very good. These are not KISAN. They are traitors,0,8934
These farmers are not even wearing mask during pandemic and I am sure that India cases jumped in lakh all of sudden because of such people. They are not even farmers,0,8622
Congress wale  aise uchal rhe hn jaise unke time pe kisan swarg mein tha .. 72 hoor thi agal bagal or Mercedes se ghumte jaise bjp aayi sab khtm bhai sahab kuch bhi,0,6331
Shree Aditya Nath Yogi is a lion of up we will decide that kisaki sarkar banegi up main,0,10198
"You should ask income will be double, not crop price  will be double. And ask him how Rakesh has accumulated so much wealth",0,6102
I am a bhramin I request people of UP not to fall in SP and BSPs tactics they are fake.,0,5200
Another woman was molested at farmer protests at Singhu border today. Why are feminists and liberals silent?,0,10277
Tikait  ! You can not  set the  themes on  fire  because  you are not patriot. Country  first  Tikait  ji  then politics  go back  here no matter  nor your  chance,0,6888
Bakait and team playing black black ,0,9341
Bjp will shut all the dirty mouths in October November ,0,2805
Not farmers some paid goons of Congress!! Because farmers don't pelt stones nor they show violence in red fort on 26th jan!!,0,7471
"Rakesh tikait now chor, swarthi insan",0,8686
I support the farmers bills,0,2500
"*Stop calling them farmers! They are maoists + congressi+ ISI agents +khalistani, etc*",0,5594
Indias government has sold its soul for the corporate mantra. No one should be surprised at this level of corruption.,0,8540
BJP's only national party India,0,14230
Dakait congress party terrorist,0,4843
Not farmers its KHALISTHANI,0,12218
Your Islamic countries are very peacefully staying by your fraud saint Allah dog ideology,0,12317
Corporate farms are the worst for the planet and most people,0,5835
"Flop protestors, go beg at Greta some more LoL...You need all the help you can get !",0,7204
"Sports stars brighten country's name, not political farmers. This idiot anchor doesn't know that. Shame Shame to Rubbish Kumar.",0,10836
Ravish whatever way you cry and torn ur vocal cords is useless  ur part of dalla media .All of us know the truth,0,9968
RAKESH TIKAIT WANTS TO BE NEXT PM OF INDIA  INDIA HAS BRIGHT FUTURE,0,6153
These are fake farmers doing only politics,0,2322
Who is a farmer among these??? Thikait... Yogendra??? Glad that these losers are being ignored... Thikait failed politician now again trying his luck... Yogendra Yadav kicked out politician now again trying his luck... Chalo dekthe hain will these losers win ... Kaash yeh kuch kaam kar lete...,0,2009
These Kisaan leaders are CopyCat Talibans ?,0,4649
Ravish should be a man and join the anti Modi brigade... Sahi hain yeh aadmi... Kuch bhi ho jaye he needs to be anti Modi... By the pretence??? Go and officially join some opposition party and do some work than just talk and spread falsehoods...,0,14836
This is pure politics nothing to do with Kisaan,0,12308
"Wouldn't it be easier to put both the Dakait brothers behind bars instead? So much of time, money and energy would be saved.
I hope it rains heavily there.",0,9825
Shame on ehsaan faramosh Sanghi Government & their bhakts,0,386
They absolutely have nothing to do other than blocking the roads and to stop country's development they are not farmers they are just unemployed people  burning the country just to satisfy there own personal anger.,0,10456
Do you think these people are educated they get manipulated by the opposition and start protesting and every other state is welcoming these laws except Punjab because most of them are unemployed and has a personal grudge towards India,0,5752
People you see at 2:34. Do those kids even have a future other than that. People from this community even had a police officer hand cut just because he asked them not to roam in lockdown. They just want the world's attention so they can show they are mistreated and spread more hatred in the country.,0,8169
ravish you are really shameless your mindset is beyond repair. be wise do not spoil ndtv,0,234
"This in not a kissan andolan, its a political movement to oppose BJP even a kid can understand. Shame on these fake people.",0,4069
"Why the docait head has not bee cracked yet? I am disappointed. The officer who ordered to crack the head should be promoted. These undemocratic bunch of illiterates have taken the country into hostage. If the govt is not ready to listen to them, they should vote the opposition and defeat the present Govt. What is this nonsense going on since a year? The roads are blocked, people are suffering for these few sponsored so called Kishans",0,1794
Don't Act like Taliban this democracy,0,5240
Right action. Enemies of country. They are not kisaan.,0,11558
"50 th national shutdown announced that is only enforced in Punjab by violent famers.

I want them to make this an election issues and ponder at the results, just so they can see that their own children don't suport them",0,3166
"these farmers protests will be there until the Punjab elections. After that, they will shut down.",0,943
Modi is a great leader,0,14708
"These protests have fizzled out. These farmers cant tell what is wrong with the laws except that they want the new laws taken back. These protests are by vested interests and only around Delhi by Punjabi and UP rich landlords. There are NO such protests in west, east or south India.

Jai Modi and Jai Hindustan.",0,5691
"Lol, this is still going. I thought it was over.",0,4465
The Modi Govt n Indian Army must take strong action against  this corona super spreaders ASAP !,0,7114
"hahah ,, keep on protesting middle men and hoarders,,, you cannot malign the name of farmers ,, 10 thousand vs rest ,, we will entertain and enjoy your show until you go back home",0,10396
"The farm laws will benefit the farmers, they can still sell their crops in mandi if they want to, selling it to corporate is just optional",0,3569
That is good. These are not kissans but terrorists.,0,5837
"1. No masks or social distancing. 2. How are they still producing crops if they have all been at the rally for so many months? 3. All of them are the middle men, who will lose a lot by corporations taking over. Have I missed anything out? 
Do these idiots honestly think the pandemic is over? They may not be bothered about themselves, but what about the thousands who are going to be infected? 
Do these idiots really think that everybody believes that they are all farmers and that they haven't been harvesting the crops? 
Another super-spreader here and then they will blame the govt. for that, and never themselves. IMO, the protesters are all idiots and so are the people supporting them.",0,252
"Reason they lost this battle is because they stared riots with Anti Hindu slogans, if they stick to farmers slogan all Indians would support them",0,8731
Communist support farmers riots not every farmer in India is doing this drama shame on far-left to use farmer for their agenda,0,13581
Nobody is asking them to live there.....that is their choice......this is not a protest for India......it is only for the benefits of the community of those farmers.....not even a protest for all farmers in India.,0,3975
"?? Seriously folks, this protest is about as effective as a 2 year child old stomping his feet when he doesn't get what he wants... if you want to fight the giant corporations and survive, then block their front gates for a week or two and stop production, then when their sales drop they will change pay attention.",0,9715
"Brave heart Farmers gonna win did battle, shame on you ppl who r still supporting parasite capitalist Government who's fooling Andhbhakts in the name of Hinduism.
In Parjivio Ka koi Deen dharm nhi ha",1,2728
Thanks NDTV. covering all areas of our society and telling reality. Thank god you are not Godi media.,1,2197
Six months agitation. Still government is just mute. What a arrogance?,1,1650
Lead anchor chitra of aaj tak was asked to leave by farmers,1,12757
Farmers will be crushed. This government is too powerful. Farmers should tread carefully. I suggest to go back home.,1,11485
"We must he honest with ourselves,  our PM smells like a dogs butt. We must clean this butt and clean our India",1,7086
All Farmers Support to Congress Party ,1,3610
I am with farmers,1,10095
There was no carona in election rallies,1,14383
I support the farmers. Down with fascist govt.,1,490
Huge respect for farmers,1,11176
Bhagats want to turn nelsons eye to all bad actions of govt,1,6459
Chitra literally got her ass kicked,1,67
I am supporting to Farmers,1,8899
Why the modi government is turning a deaf ear to the plight of the farmers,1,14696
Support farmer's protest ,1,7226
Hope everything gets well soon support farmers ,1,8610
Be curse of Allah on modi,1,11422
"farmer on top
 Unsubscribe zeenews",1,12598
"Wn evr ter is famr prostest our govt will simply divert media
See now  assam",1,11885
"Modi has sold out to the globalists, 6+ months of protest and still no change in bills.......only one explanation is Modi took a lot of ",1,7854
100% support from all the UK and USA and Canada Sikhs,1,491
Support farmers.They are the backbone of India ,1,10089
"Dr Ambedkar father of Indian Constitution said on   independence day 15 th August 1947 said  ""  Now  Foreigners (Britishers ) are leaving, here onwards Indian Nazies will rule our  India""",1,11289
Total entire 1300 million people of Indians are opposing these Agricultural new laws in India,1,2275
"Very sad to our old farmers from Punjab and other states dying on the Delhi roads. 600 farmers lost their life. These farmers fed India from generations. What is their fault? Only fault is in 1947, Instead of taking their own country they proffered to stay with India as Nehru promised them freedom. People now you can see kind of treatment India gave them.",1,8473
"We are not terrorists ,we are framers",1,14220
"""If you ever sniffed the dust you wouldn't do that to us."" Word's of a farmer. 
It's ok If you can't support them but please respect them, they're farmer's not terrorist.indian media telling lies.",1,8101
Jai jawan Jai kisaan. Modi became Hitler. Doing injustice with his own countries food providers. Accept what they are asking for & let them all live a healthy & a safe life. Let them go back to their families. Waheguru baba ji bless them.,1,11315
These farmers risk getting infected by Covid to push back against greedy corporate shrills. Well done.,1,8720
boycott bjp,1,7424
"BJP first provoked farmers by using muscle  power at  Uttar Pradesh...
And now BJP will use these clips to defame farmers movement.......If you have read history well....then this is the exact technique which British regularly used to defame and curb the nationalist movement",1,14857
Imagine a country where Farmers who feed the country don't have their rights and no one is ready to listen to them and see them in what conditions they are suffering at the borders. Government is  answerable...but looks like this Country and common people are deamons.,1,2599
"In villages, we don't have electricity, our schools are closed, children are in streets. Future of Punjab is finished. Political people are so selfish and cruel.",1,11395
"If the farmers don't want the new bills, why give them? lol. Corrupt shady Indian government.",1,8408
Why did BBC censored the scene where there were lots of red flags flying on the many poles? Trying to prevent the world from seeing the socialist peasants/farmers mass movement against the corporate greed?,1,12053
"Please speak on Shanta Kumar Report which says procurement of grains should be stopped from Punjab, Haryana, Western UP etc and should be done only in Eastern states, secondly as per DOHA round of WTO US, Canada, EU etc are pushing India to restrict  procurement and stocking  to service PDS i.e. 40%of population whereas food security act envisages stocks for 70% of population, thirdly what happened in Bihar after private procurement was introduced and public APMC were abolished and what happened to Apple growers in Himachal after corporate buyers monopolised procurement, lastly PEPSI has large contract farming for Potato in Punjab and issues and difficulties and corruption in procurement where in 10 years price has increased from 5 to 8 per Kg but input costs have increased manifold during this time. just giving political twist does not help farmers cause, the public at large cannot be swayed only on political and emotional appeal, the facts and issues and reasoning behind agitation has to be brought forward, if people know details on what is at stakes and what farmer stand to lose by these 3 laws...",1,4280
All govt that is following path of religious ideology  is simply a Taliban . They can only hit farmers with big wood as lathi  . No respect for such Govts.,1,2377
Modi became the Prime Minister due to lack of education among Indians.  Will Modi resign?,1,12634
Farmers start stocking all the produce. Let the government import food grains.,1,7053
Remove modi from india because sold all india to Coopurates,1,12491
No political party will be allowed to campaign until three laws ain't repealed now is the time to beat the shit out of these politicians they need to be deciplined to work for people not for there personal beniefits,1,892
I think that maybe something is wrong with these farm laws because why don't bjp take these laws back despite strong oppose. Atleast he should give in bold letters in law that MSP is compulsory and will be provided.,1,3361
"Why agitations should not become political ?  India Against Corruption IAC was hijacked by a political party and that party should not crib about politicisation.  Self respect of farmers is injured and politicisation is the tool for social change ... Arrogance of the spokesperson is evident, no discussion on the issues, but personal attacks and attack on opposition ...",1,3494
Thanks u bbc for sharing this valuable information about farmers protest this Modi government wants to sell their farming to private companies,1,12130
Farmers will win,1,15048
Modi does not care about the sikh farmers Punjabi farmers. Its the truth,1,3774
Modi is a living nightmare,1,7629
Farmer is the backbone of countries economy,1,2446
I am support the farmers ,1,3189
BJP the Nazi Party of India...,1,10538
"3:21 Kisan Anthem's line sung by Afsana Khan written on the poster. That's kinda slap on Indian Medias, Shame on our Fake media ",1,14610
The great framer protest against authoritarian government,1,13668
BJP will killing farmer soul,1,12513
Mam actually ek kisan ki death ho gyi hai usko police walo ne itna mara ....,1,13130
"We are praying for our indian brothers and sisters from Bangladesh, be strong and be safe, we also supports indian farmers",1,5908
Propaganda washing the poor famers mind ....,1,7281
"The lips of the righteous feed many,
because of the lack of understanding fools die.",1,2262
"More power to these farmers, keep fighting till your last breathe.",1,9738
"Goodluck to my Punjabi brothers and sisters, and all fellow Indians fighting against injustice and corruption.
Inshallah the far right will learn from this through the economic sacrifice they have caused by marginalising there own citizens!",1,3516
Shame on Modi government. Those farmers from long time protest,1,14228
Modi is a dictator who is anti-peasantry and working only for elite class of his own caste and state...   Time for India to be given back to the people...,1,11127
"Problem with India is there are no Good opposition.
that's why Bjp is in power.
Congress is in complete decline because of Family politics(they should give leadership to mr shashi) 
whereas in Other states like tamil,bengal etc regional parties are popular.",1,2929
Indian media are not showing this thanks international media,1,12310
They want to control food you have to fight to stop them,1,680
"Jai kisan Jai mazdoor
Corporated govt murdabaad
The fight is to protect food from going into the hands of corporates
As well as farmers right
Both farmers and consumers will have to suffer under these farm laws",1,5808
BJP looks more brutal than the 'current Taliban'.,1,13620
The only people I love in India r farmers.,1,12791
We can't survive without farmers but our leaders never seem to appreciate such a simple fact.,1,10768
"Nothing is gonna happen.. Shutdown by farmers will happen only in punjab and some parts of haryana.
I think this is theirs maybe 46th nation wide shutdown., But whole India was opened and working.
This tikait guy doesn't have guts to reach even lucknow and conduct atleast Uttar pradesh shutdown, his own state..
Even his own jaat community people wont even listen to this guy, if he tell to vote against BJP. 
His father choudhary Mahendra singh tikat was a great farmer leader, but this guy don't have any credibility at all.",1,10736
"As long as Modi is in power, no one can live in peace in India.",1,10341
Indian prime minister PM Modi serving his masters who invested huge amount of money to elect him as pm. Now its payback time. So Primr Minister Modi selling every government sector to ambani and Adani group. Some of the money is going to Israel and France for technigal and military support. Wost prime minister in Indian history.,1,10994
Down with BJP fascism,1,11414
I stand with Indian farmers who feed billion people. They must be given due rights.,1,6999
NOW FOOD CRISIS IN INDIA,1,14201
India the country where Police use huge Sticks to beat people,1,1688
Shame on Indian fascist govt,1,1333
Support Indian farmers,1,9083
Modi is on his lowest popularity farmers would be last nail in Modi's coffin.,1,537
These farmers are fighting for their future. They do not want their future like todays USA farmers .,1,2978
Why our PM is so silent on this issue,1,10018
Common man Vs Corporate,1,8631
Congres es se 1000 guna better thi yar,1,3925
Shame on Godi media,1,10620
Bjp rss is the another name of terrorism,1,7933
Transnational agribusinesses are controlling our food systems while destroying our planet & everyones health while enticing their pockets.  Unbelievable!!!,1,13885
I remember when taleban was cannong those rushing to airport and indianedia was calling them barbaric but then i saw many indian police videos n i am shocked,1,5313
Modi is selling you out and doing whatever the usa says. Probably have a war with China at the direction of the usa. Modi is a puppet leader ordained by Washington.,1,1196
Govt have surplus  wheat and rice  then why govt want subsudi,1,12054
Oneday Upvas for great Kisans 17 sept ...desh bachao,1,10633
Ravish Kumar is a Legend ...,1,12635
"Long live Ravish, well done!",1,3659
Farmers's grievance is still one of burning issue which needs quick redrressal.,1,4224
Kissan will win win,1,1881
Ravish kumar ji you and Rakesh tikait ji are really fighting with these demons,1,9959
We salute you ravishji. You are a great person. Never seen or heard such a daring journalist.,1,7337
We supports farmers,1,9706
India truly reflect in its villages and in its ordinary people. Those rulers who does not understand this will pay a great price.,1,14071
Which type of govt it is ? Why they are destroying our formers,1,1157
Support Ravish kumar and real reporting,1,6182
